id,year,month,carrier,carrier_name,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,id-2,country_code,iata,airport,latitude,longitude
106,2020,12,DL,Delta Air Lines Inc.,"Phoenix, AZ: Phoenix Sky Harbor International",734,147,42.94,2.5,85.38,0,16.18,8,1,6314,2687,375,2465,0,787,12,US,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
107,2020,12,DL,Delta Air Lines Inc.,"San Diego, CA: San Diego International",516,71,18.97,1.64,47.27,0,3.13,5,0,2689,1009,148,1440,0,92,15,US,SAN,San Diego International Airport,32.7336,-117.19
108,2020,12,DL,Delta Air Lines Inc.,"Seattle, WA: Seattle/Tacoma International",1669,155,54.1,5.43,79.12,0,16.35,27,2,10126,5677,600,2768,0,1081,16,US,SEA,Seattle-Tacoma International Airport,47.449,-122.309
109,2020,12,DL,Delta Air Lines Inc.,"San Francisco, CA: San Francisco International",533,82,25.15,2.42,47.77,0,6.66,9,0,3801,1710,332,1352,0,407,17,US,SFO,San Francisco International Airport,37.619,-122.375
110,2020,12,DL,Delta Air Lines Inc.,"Salt Lake City, UT: Salt Lake City International",3649,497,147.03,5.42,252.35,0,92.21,38,0,26723,10940,995,7448,0,7340,0,US,SLC,Salt Lake City International Airport,40.7884,-111.978
111,2020,12,F9,Frontier Airlines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",215,10,3.89,0,5.14,0,0.97,1,0,410,170,0,178,0,62,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
112,2020,12,F9,Frontier Airlines Inc.,"Boston, MA: Logan International",21,3,0.19,0,2.81,0,0,0,0,120,5,0,115,0,0,13,US,BOS,Logan International Airport,42.3643,-71.0052
113,2020,12,F9,Frontier Airlines Inc.,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",24,4,2.39,0,0.72,0,0.89,0,0,157,96,0,33,0,28,19,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
114,2020,12,F9,Frontier Airlines Inc.,"Charlotte, NC: Charlotte Douglas International",44,3,2.45,0,0.55,0,0,0,0,105,93,0,12,0,0,10,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
115,2020,12,F9,Frontier Airlines Inc.,"Washington, DC: Ronald Reagan Washington National",64,8,2.04,0,4.43,0,1.53,0,0,190,49,0,81,0,60,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
116,2020,12,F9,Frontier Airlines Inc.,"Denver, CO: Denver International",1549,193,39.8,3.19,109.84,0,40.16,4,0,9752,2645,354,4816,0,1937,9,US,DEN,Denver International Airport,39.8617,-104.673
